Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-13T13:00+01:00,31699.39354,36946.65315,103.04
2025-01-13T14:00+01:00,32324.04597,33990.71056,104.67
2025-01-13T15:00+01:00,35460.88398,27180.99551,138.2
2025-01-13T16:00+01:00,36561.99604,22929.07904,142.62
2025-01-13T17:00+01:00,37622.83796,23275.76666,149
2025-01-13T18:00+01:00,37726.96571,25216.25589,149
2025-01-13T19:00+01:00,36586.00964,26658.27584,139.73
2025-01-13T20:00+01:00,35315.05753,26665.86374,123.18
2025-01-13T21:00+01:00,33743.78973,27865.18826,120.22
2025-01-13T22:00+01:00,32130.79716,29181.66862,115.57
2025-01-13T23:00+01:00,29933.74202,30637.691,102.31
2025-01-14T00:00+01:00,28508.25894,30547.31991,106.38
2025-01-14T01:00+01:00,27479.59399,30925.12953,103.7
2025-01-14T02:00+01:00,27269.73375,30790.16419,99.08
2025-01-14T03:00+01:00,27418.1219,30846.33866,97.99
2025-01-14T04:00+01:00,28384.45257,30183.26546,101.88
2025-01-14T05:00+01:00,29729.20354,29795.36226,107.64
2025-01-14T06:00+01:00,33175.44026,30340.87844,123.4
2025-01-14T07:00+01:00,36061.30132,30134.06892,156.62
2025-01-14T08:00+01:00,36522.02034,32286.0443,184.03
2025-01-14T09:00+01:00,35941.39421,36974.31223,151.86
2025-01-14T10:00+01:00,34773.28854,41614.56438,117.62
2025-01-14T11:00+01:00,34077.35782,43612.93108,109.31
2025-01-14T12:00+01:00,32838.33534,44946.5712,103.11
2025-01-14T13:00+01:00,32327.72183,44196.90056,108.11
2025-01-14T14:00+01:00,33021.7254,41338.35571,115.35
2025-01-14T15:00+01:00,35279.91299,37005.27629,125.35
2025-01-14T16:00+01:00,36437.90477,32722.13859,141.97
2025-01-14T17:00+01:00,37280.26605,32428.92292,165.86
2025-01-14T18:00+01:00,37386.93044,32189.14313,170.07
2025-01-14T19:00+01:00,37143.64298,31571.91954,158.38
2025-01-14T20:00+01:00,36130.4652,29981.31721,135.46
2025-01-14T21:00+01:00,35400.89523,28813.11377,117.69
2025-01-14T22:00+01:00,34936.67271,27899.26137,121
2025-01-14T23:00+01:00,33832.96737,26923.52946,121.76
2025-01-15T00:00+01:00,32980.29101,26962.78435,108.28
2025-01-15T01:00+01:00,32376.91777,26618.13829,107.72
2025-01-15T02:00+01:00,32264.4829,25297.66845,108.41
2025-01-15T03:00+01:00,32584.47792,23655.34926,108.04
2025-01-15T04:00+01:00,33031.27257,22144.25067,108.75
2025-01-15T05:00+01:00,33919.39017,20784.80244,114.92
2025-01-15T06:00+01:00,36516.38022,18028.80522,134.49
2025-01-15T07:00+01:00,39069.52282,15824.91109,191.79
2025-01-15T08:00+01:00,40552.72871,14627.42782,307.24
2025-01-15T09:00+01:00,40794.04657,14708.63014,315.02
2025-01-15T10:00+01:00,40820.2018,15295.02153,311.03
2025-01-15T11:00+01:00,40740.57642,15618.18959,304.8
2025-01-15T12:00+01:00,40409.49367,15423.2092,311.02
2025-01-15T13:00+01:00,40141.78918,14587.86258,309.34
2025-01-15T14:00+01:00,40386.07116,12919.88811,285.83
2025-01-15T15:00+01:00,40961.44834,11123.74811,301.74
2025-01-15T16:00+01:00,41221.40142,10008.17362,333.52
2025-01-15T17:00+01:00,41290.86823,9896.575039,377.99
2025-01-15T18:00+01:00,40584.42043,9808.410732,324.74
2025-01-15T19:00+01:00,39791.53939,9591.711737,270.09
2025-01-15T20:00+01:00,37848.65021,9592.372114,181.66
2025-01-15T21:00+01:00,36408.10821,9584.282571,150.87
2025-01-15T22:00+01:00,35607.68962,10002.81179,141.16
2025-01-15T23:00+01:00,33883.42447,10433.2768,123.9
2025-01-16T00:00+01:00,32755.36938,10680.89041,126.33
2025-01-16T01:00+01:00,32174.10097,11118.66822,119.12
2025-01-16T02:00+01:00,32662.55721,11533.29866,117.62
2025-01-16T03:00+01:00,32807.82338,12021.63542,115.03
2025-01-16T04:00+01:00,32910.51942,12826.57486,115.75
2025-01-16T05:00+01:00,33735.28658,13345.21932,123.27
2025-01-16T06:00+01:00,34868.11516,14402.72234,138.7
2025-01-16T07:00+01:00,35702.7146,15736.35386,173.04
2025-01-16T08:00+01:00,36420.35566,17600.13454,199.65
2025-01-16T09:00+01:00,36215.76114,20491.41911,175
2025-01-16T10:00+01:00,35611.97937,23868.09034,151.9
2025-01-16T11:00+01:00,35246.36115,26622.6902,140.64
2025-01-16T12:00+01:00,34757.8747,27628.29254,131.13
2025-01-16T13:00+01:00,34598.31139,26432.32428,130.58
2025-01-16T14:00+01:00,34924.89111,23481.50996,138.42
2025-01-16T15:00+01:00,35492.12612,19398.15549,163.04
2025-01-16T16:00+01:00,36083.17849,16625.72195,179.2
2025-01-16T17:00+01:00,36544.73783,16702.87501,191.56
2025-01-16T18:00+01:00,36386.79009,17387.92365,184.32
2025-01-16T19:00+01:00,35306.45338,17556.6214,179.97
2025-01-16T20:00+01:00,34429.88118,17763.19483,159.6
2025-01-16T21:00+01:00,34000.81873,17405.536,141.6
2025-01-16T22:00+01:00,33365.1294,16947.05248,135.29
2025-01-16T23:00+01:00,32115.43927,16526.31862,123.75
2025-01-17T00:00+01:00,30903.42619,16461.90528,118.87
2025-01-17T01:00+01:00,29875.96394,16164.86115,118.39
2025-01-17T02:00+01:00,29741.22313,15636.11785,115.71
2025-01-17T03:00+01:00,29574.33215,15143.18003,114.72
2025-01-17T04:00+01:00,29694.83072,14052.23242,115.48
2025-01-17T05:00+01:00,31604.08574,13307.64251,122.16
2025-01-17T06:00+01:00,34521.36217,13081.44815,140.8
2025-01-17T07:00+01:00,36315.61425,13149.35867,175.01
2025-01-17T08:00+01:00,37038.93014,13571.79289,208.13
2025-01-17T09:00+01:00,36984.74767,15131.64312,175.34
2025-01-17T10:00+01:00,36469.04853,17605.74912,158
2025-01-17T11:00+01:00,36337.20741,19946.92689,140.73
2025-01-17T12:00+01:00,35783.0081,20862.08411,126.44
2025-01-17T13:00+01:00,35891.53707,20360.49989,124.03
2025-01-17T14:00+01:00,35922.63292,18481.72997,132.99
2025-01-17T15:00+01:00,36346.93053,15619.89212,151.98
2025-01-17T16:00+01:00,36943.03843,14030.32565,170.21
2025-01-17T17:00+01:00,37469.15624,13654.61178,178.79
2025-01-17T18:00+01:00,37769.17694,13050.92368,179.92
2025-01-17T19:00+01:00,37228.10127,12154.1444,174.22
2025-01-17T20:00+01:00,36915.15233,11613.71709,157.91
2025-01-17T21:00+01:00,35061.50144,11608.15827,145
2025-01-17T22:00+01:00,34027.27887,12243.24933,139.97
2025-01-17T23:00+01:00,33675.59246,12569.96724,126.84
2025-01-18T00:00+01:00,31867.91964,12040.05834,125.29
2025-01-18T01:00+01:00,30533.44295,12148.6862,121.05
2025-01-18T02:00+01:00,30016.43276,11915.3786,120.98
2025-01-18T03:00+01:00,29909.6215,11363.41517,118.85
2025-01-18T04:00+01:00,29797.64911,10679.23547,116.46
2025-01-18T05:00+01:00,29882.66835,10444.14642,119.77
2025-01-18T06:00+01:00,30208.93812,10233.48721,119.75
